Link sản phẩm,Link hình ảnh,Tên sản phẩm,Giá,Thể loại,Loại sách,Kích thước,Số trang,Tác giả,Dịch giả,NXB,NPH,Barcode,Description
https://nhasachphuongnam.com/vi/khi-ban-dang-mo-thi-nguoi-khac-dang-no-luc.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/219/1_pqhh-50.jpg,Khi Bạn Đang Mơ Thì Người Khác Đang Nỗ Lực,115000,Tâm lý - Giáo dục,Bìa mềm,None,416,Vĩ Nhân,None,NXB 	Văn Học,None,893606759920,
https://nhasachphuongnam.com/vi/an-uong-la-hanh-phuc.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/219/image_195509_1_44036.jpg,Ăn Uống Là Hạnh Phúc,105000,None,None,None,None,None,None,None,None,893497416875,
https://nhasachphuongnam.com/vi/chat-voi-bac-si-bac-si-rieng-cua-be-yeu.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/219/chat-voi-bac-si-bac-si-rieng-cua-be-yeu-56t75_c62cdbfbca734d6da0846782297236b3_master.png,Chat Với Bác Sĩ - Bác Sĩ Riêng Của Bé Yêu,110000,None,None,None,None,None,None,None,None,893528090151,
https://nhasachphuongnam.com/vi/you-can-win-bi-quyet-cua-nguoi-chien-thang.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/218/image_180163.jpg,You Can Win - Bí Quyết Của Người Chiến Thắng,88000,None,None,13 x 20.5 cm,288,None,None,None,None,893508684625,"Nhưng trên hết, đây là cuốn sách từng bước dẫn dặt bạn đi từ mơ ước, khát vọng thành công đến khám phá năng lực của bản thân và biến ước mơ thành hiện thực.   Bí quyết sẽ giúp bạn xây dựng mục tiêu mới, hình thành ý niệm mới về mục đích sống, phát triển tư tưởng mới về bản thân và tương lai. Một trong những mục đích của cuốn sách là giúp bạn đề ra kế hoạch hành động cho tương lai. Nếu chưa bao giờ làm vậy, bạn hãy xác định xem: - Bạn muốn đạt được điều gì? - Bạn muốn đạt được mục tiêu bằng cách nào? - Thời điểm bạn muốn đạt được mục tiêu là khi nào? Những nguyên tắc trình bày trong cuốn sách đều mang tính phổ quát, áp dụng cho mọi tình huống, tổ chức hoặc quốc gia. Hy vọng cuốn sách sẽ mang lại cho bạn nhiều điều mới mẻ và những khám phá thú vị. "
https://nhasachphuongnam.com/vi/lam-it-duoc-nhieu-vi.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/217/10_1.png,Làm Ít Được Nhiều,88000,Tâm lý - Giáo dục,Bìa mềm,13 x 20.5 cm,232,Chin-Ning Chu,None,NXB Đà Nẵng,None,978604840034,
https://nhasachphuongnam.com/vi/bai-hoc-vo-gia-tu-nhung-dieu-binh-di-tai-ban.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/215/1_w40d-zb.jpg,Bài Học Vô Giá Từ Những Điều Bình Dị ( Tái Bản ),64000,Tâm lý - Giáo dục,Bìa mềm,13 x 20.5 cm,216,Francis Xavier,None,NXB Tổng Hợp TP HCM,None,893508684620,
https://nhasachphuongnam.com/vi/got-rua-au-lo-tu-do-tam-tri.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/215/got-rua-au-lo-tu-do-tam-tri.jpg,Gột Rửa Âu Lo Tự Do Tâm Trí,136000,Tâm lý - Giáo dục,Bìa mềm,14.5 x 20.5 cm,256,Michael Smith,Vũ Hương Giang,NXB Thanh Niên,Bookland,893532500188,"Thiền là một phương pháp đơn giản, chẳng hề tốn kém và cũng không yêu cầu bất kỳ công cụ đặc biệt nào, hơn cả, chúng ta có thể thực hành mọi lúc mọi nơi. Học thiền bao gồm việc học các bài tập và tiếp thu từng bước căn bản, để đến bước cuối cùng bạn có thể thật sự hành thiền một cách sơ cấp, không cần ai nhắc. Cuốn sách bao gồm 100 bài thiền được sắp xếp vào 8 chủ đề với những mục đích khác nhau, giúp bạn đọc dễ dàng lựa chọn bài thiền phù hợp với không gian và thời gian cụ thể. Dù bạn bận rộn hay thư thả, dù bạn đang tĩnh tâm hay lo lắng, thậm chí bạn chẳng biết chút gì về thiền định và những chuyện bên lề, bạn vẫn có thể thực hành các bài tập thiền chánh niệm này để xoa dịu tâm trí, cảm xúc và thân thể, từ đó gột rửa âu lo và đạt tới tự do tâm trí. Đức Đạt Lai Lạt Ma từng nói: “Chẳng điều gì trên đời có thể làm ta phiền muộn nhiều bằng chính tâm trí ta. Có vẻ như người khác đang làm phiền ta đấy, nhưng không phải họ đâu. Mà chính là cái tâm của ta”. Vậy thì hãy hành thiền ngay hôm nay, ngay lúc này, để xóa tan mọi phiền muộn trong lòng, tìm về với an lạc. "
https://nhasachphuongnam.com/vi/condensed-chicken-soup-for-the-soul-danh-cho-me-mon-qua-cua-tinh-yeu-tai-ban-nam-2021.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/212/danh-cho-me-mon-qua-cua-tinh-yeu-tb-2021.jpg,Condensed Chicken Soup For The Soul - Dành Cho Mẹ Món Quà Của Tình Yêu (Tái bản năm 2021),68000,Tâm lý - Giáo dục,Bìa mềm,13 x 20.5 cm,160,Jack CanfieldMark Victor Hansen,None,NXB Tổng Hợp TP. HCM,First News,893508685441,"Tình yêu thương của mẹ dành cho ta xuất phát từ những điều dung dị và giản đơn hàng ngày. Có một công việc không có ngày về hưu mang tên “làm Mẹ"". Lần cuối bạn nói ""con yêu Mẹ"" là khi nào? Đã bao giờ bạn tự hỏi, Mẹ cảm thấy như thế nào khi nghe được câu nói đó từ bạn chưa? Mỗi người sẽ có cách thể hiện tình cảm riêng. Tuy vậy, dù là ở đâu, làm gì, thì tình mẫu tử đều thiêng liêng và đáng trân quý. Tình cảm đó không thể đong đếm, không rõ nông sâu, càng không rõ hình thù. Làm thế nào để những người con hiểu thấu được lòng Mẹ, cũng như làm sao để những người Mẹ có thể truyền đạt được hết sự yêu thương của mình dành cho con? Jack Canfield và Mark Victor Hansen đã cùng nhau thực hiện cuốn sách Dành Cho Mẹ - Món Quà Của Tình Yêu như một sự tri ân dành cho các bà mẹ ở khắp nơi trên thế giới. Qua những trang sách, chúng ta chợt nhận ra tình cảm giữa Mẹ và con hoá ra lại gần gũi và thân thương đến thế: “Mỗi lần mẹ mang đồ đi giặt, mỗi lần mẹ dọn dẹp và nấu nướng cho chúng tôi chính là mỗi lần mẹ nói: “Mẹ yêu các con”. Mỗi lần mẹ lắng nghe tôi tâm sự và cổ vũ tôi làm theo con tim mình là mỗi lần mẹ dạy tôi cách cảm nhận và thể hiện cảm xúc của bản thân một cách không sợ hãi. Mẹ tôi - người phụ nữ đã tự nhận mình không biết cách bày tỏ tình cảm của mình với con cái - đã chạm vào con tim tôi sâu sắc hơn bất kỳ ai”. Hay tình thương của Mẹ không chỉ dừng lại ở sự ân cần mà còn ở tính nghiêm khắc. Cuộc đời của cậu bé Ken trong mẩu chuyện “Phép màu của Mẹ” là một minh chứng. Ken từng bị mọi người cho rằng sẽ “không thể sống qua năm mười tuổi” vì những khiếm khuyết bẩm sinh, đã có thể trở thành một người đàn ông 42 tuổi, có một cuộc sống độc lập và công việc ổn định nhờ vào tình thương và sự kiên định trong cách giáo dục của người Mẹ. 34 mẩu chuyện ngắn trong Dành Cho Mẹ - Món Quà Của Tình Yêu hy vọng sẽ đem lại những phút giây êm đềm đến với quý độc giả, đặc biệt là những ai đã, đang và sắp làm Mẹ, cũng như những người con dù đang được ở bên hay cách xa Mẹ ngàn trùng. Cuốn sách sẽ một lần nữa khắc sâu trong bạn những hình ảnh về tình mẫu tử thiêng liêng, và đâu đó trên đường đời, sâu thẳm trong trái tim, bạn sẽ mỉm cười. “Với thế giới, mẹ chỉ là một người mẹ; nhưng với các con của mình, mẹ là cả thế giới” - Khuyết danh. Thông tin tác giả Jack Canfield là một diễn thuyết gia nổi tiếng người Mỹ, có nhiều kinh nghiệm và trải nghiệm cuộc sống phong phú từ thực tế và kiến thức sâu rộng. Ông cũng sở hữu cách nói chuyện đầy sức thuyết phục và lôi cuốn cùng với khả năng nhạy cảm với nội tâm của người khác. Nhờ đó, Jack đã giúp rất nhiều người khám phá ra sức mạnh bản thân để theo đuổi và thực hiện ước mơ của mình. Mark Victor Hansen cũng là một diễn thuyết gia. Ông đã thực hiện hơn 4 ngàn buổi nói chuyện cho hơn 2 triệu thính giả ở 32 quốc gia với các đề tài về cuộc sống, hàn gắn vết thương, tìm kiếm sức mạnh tinh thần và phát triển nội tâm, chiến lược kinh doanh và hiệu quả trong công việc. Ông nhiều lần được mời nói chuyện trên các đài truyền hình và phát thanh nổi tiếng như: ABC, CBS, PBS, CNN… và hiện đang là một trong những diễn giả được khán thính giả yêu thích nhất. "
https://nhasachphuongnam.com/vi/tam-ly-hoc-toi-pham-phac-hoa-chan-dung-ke-pham-toi.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/211/tam-ly-hoc-toi-pham-phac-hoa-chan-dung-ke-pham-toi.jpg,Tâm Lý Học Tội Phạm - Phác Họa Chân Dung Kẻ Phạm Tội,145000,Tâm lý - Giáo dục,Bìa mềm,16 x 24 cm,280,Diệp Hồng Vũ,Đỗ Ái Nhi,NXB Thanh Niên,Bebooks,893532500181,"TÂM LÝ HỌC TỘI PHẠM - PHÁC HỌA CHÂN DUNG KẺ PHẠM TỘI Tội phạm, nhất là những vụ án mạng, luôn là một chủ đề thu hút sự quan tâm của công chúng, khơi gợi sự hiếu kỳ của bất cứ ai. Một khi đã bắt đầu theo dõi vụ án, hẳn bạn không thể không quan tâm tới kết cục, đặc biệt là cách thức và động cơ của kẻ sát nhân, từ những vụ án phạm vi hẹp cho đến những vụ án làm rúng động cả thế giới. Lấy 36 vụ án CÓ THẬT kinh điển nhất trong hồ sơ tội phạm của FBI, Tâm Lý Học Tội Phạm - Phác Họa Chân Dung Kẻ Phạm Tội mang đến cái nhìn toàn cảnh của các chuyên gia về chân dung tâm lý tội phạm. Trả lời cho câu hỏi: Làm thế nào phân tích được tâm lý và hành vi tội phạm, từ đó khôi phục sự thật thông qua các manh mối, từ hiện trường vụ án, thời gian, dấu tích,… để tìm ra kẻ sát nhân thực sự.  Đằng sau máu và nước mắt là các câu chuyện rợn tóc gáy về tội ác, góc khuất xã hội và những màn đấu trí đầy gay cấn giữa điều tra viên và kẻ phạm tội. Trong số đó có những con quỷ ăn thịt người; những cô gái xinh đẹp nhưng xảo quyệt; và cả cách trả thù đầy man rợ của các nhà khoa học,… Một số đã sa vào lưới pháp luật ngay khi chúng vừa ra tay, nhưng cũng có những kẻ cứ vậy ngủ yên hơn hai mươi năm.  Bằng giọng văn sắc bén, Tâm Lý Học Tội Phạm - Phác Họa Chân Dung Kẻ Phạm Tội hứa hẹn dẫn dắt người đọc đi qua các cung bậc cảm xúc từ tò mò, ngạc nhiên đến sợ hãi, hoang mang tận cùng. Chúng ta sẽ lần tìm về quá khứ để từng bước gỡ những nút thắt chưa được giải, khiến ta ""ngạt thở"" đọc tới tận trang cuối cùng.  Hy vọng cuốn sách sẽ giúp bạn có cái nhìn sâu sắc, rõ ràng hơn về bộ môn tâm lý học tội phạm và có thể rèn luyện thêm sự tư duy, nhạy bén. "
https://nhasachphuongnam.com/vi/trong-moi-chung-ta-deu-co-mot-dua-tre-can-vo-ve.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/208/trong-moi-chung-ta-deu-co-mot-dua-tre-can-vo-ve.jpg,Trong Mỗi Chúng Ta Đều Có Một Đứa Trẻ Cần Vỗ Về,119000,Tâm lý - Giáo dục,Bìa mềm,14.5 x 20.5 cm,248,Choi Kwanghyun,Minh Thùy,NXB Thanh Niên,Bookland,893532500184,"Tiếp nối thành công của hai cuốn sách “Hai mặt của gia đình” và “Góc khuất của yêu thương” - hai cuốn sách tâm lý học dành cho những người đang gặp tổn thương trong mối quan hệ gia đình và tình yêu đôi lứa, bác sĩ/tiến sĩ tâm lý học Choi Kwanghyun lại một lần nữa đưa người đọc đến với Trong Mỗi Chúng Ta Đều Có Một Đứa Trẻ Cần Vỗ Về - cuốn sách chữa lành “đứa trẻ bên trong”, giúp bạn tìm hiểu những trải nghiệm thời thơ ấu ảnh hưởng như thế nào đến cuộc sống của một người và tổn thương hoạt động theo nguyên lý ra sao. Mọi người thường hay tự hỏi những câu như: Tại sao tôi lại để ý đến người khác? Tại sao tôi lại tức giận khi nghe những lời đó? Tại sao tôi lại ghét đứng trước mặt người khác? Tại sao thế giới này lại đối xử không tốt với chỉ riêng mình tôi? Tại sao sống như những người khác lại khó khăn với tôi đến thế? …... Đã bao giờ bạn cảm thấy bị căng thẳng hay không thoải mái trong một mối quan hệ không? Thông qua những buổi tham vấn tâm lý của bác sĩ Choi Kwanghyun, những “đứa trẻ bên trong” của từng khách hàng được ông định nghĩa và phân tích chúng một cách logic và chặt chẽ, đồng thời đưa ra những phương pháp trị liệu để giúp những người còn đang mắc kẹt trong thương tổn tìm lại được chính mình. Hy vọng rằng cuốn sách có thể giúp mọi người có một cuộc sống độc lập và tự do, đồng thời trở thành một mảnh ký ức ấm áp giúp bạn có thể gặp gỡ và làm hòa với đứa trẻ bên trong đầy tổn thương đang nép mình ở nơi sâu thẳm trong trái tim. "
