Link sản phẩm,Link hình ảnh,Tên sản phẩm,Giá,Thể loại,Loại sách,Kích thước,Số trang,Tác giả,Dịch giả,NXB,NPH,Barcode,Description
https://nhasachphuongnam.com/vi/sinh-nam-1972-khat-vong-song-tu-truyen-nguyen-canh-binh.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/219/sinh-nam-1972.jpg,Sinh Năm 1972 - Khát Vọng Sống (Tự truyện Nguyễn Cảnh Bình),199000,Văn Học,Bìa mềm,None,424,Nguyễn Cảnh Bình,None,NXB Thế Giới,Alphabooks,combo-hoikynguyencanhbinh,"Khi bắt tay viết cuốn Tự truyện này, ban đầu, dự định của tác giả chỉ là kể lại những chuyện xảy ra trong cuộc đời ông như để chiêm nghiệm lại những chuyện đã qua, những gì ông trải nghiệm với Alpha Books, với việc đọc sách, việc kinh doanh, xã hội, con người, bạn bè.Nhưng rồi cuốn sách đã được mở rộng ra cả về những kỷ niệm thời gian khó và thấp thoáng câu chuyện của những người bạn đồng trang lứa. Rồi tác giả lại thấy cần viết cả về dự định ông muốn làm trong những năm tháng tiếp theo… Cuốn tự truyện Sinh Năm 1972 - Khát Vọng Sống của Nguyễn Cảnh Bình kể về toàn bộ quá trình học tập, trưởng thành và phát triển của bản thân ông. Những thành công, thất bại trên đường đời, những mong muốn và kế hoạch tiếp theo của ông cho sự nghiệp và cuộc đời... Đặc biệt trong cuốn sách ông nhấn mạnh giai đoạn có những bước ngoặt, biến động lớn lao đối với ông. Đó là quãng những năm 1986-1992 và giai đoạn thay đổi tư duy 1996-1998, giai đoạn thành lập Alpha Books và quá trình làm sách, xuất bản, hoạt động xã hội từ 2004 đến nay của ông... Cuốn sách dày 424 trang chia thành 7 phần chính: CUỐN SÁCH NÀY CÓ GÌ ĐẶC BIỆT? - Cuốn tự truyện sinh động và gần gũi về một cuộc đời đầy màu sắc được kể bằng tất cả trái tim, với rất nhiều niềm vui, nỗi buồn, đắng cay, hạnh phúc. Trên tất cả là ý chí sống mãnh liệt của một con người không bao giờ cho phép mình dừng lại. - Câu chuyện hấp dẫn của một người đã vượt qua mọi khó khăn, thách thức để theo đuổi đam mê tri thức, những gì ông làm có tác động tới nhiều thế hệ trẻ hiện nay. - Bức chân dung đầy đủ, mạnh mẽ, đầy lôi cuốn, truyền cảm hứng sống và cảm hứng viết cho tất thảy những ai muốn sống một cuộc đời không uổng phí. ------ “Có những khát vọng không ngừng cháy trong tôi. Những ý tưởng mới mẻ, những dự định muốn làm luôn thôi thúc trái tim, khối óc tôi mỗi ngày.” “Tôi muốn viết đúng về mình hết mức có thể như một bản mô tả chân dung con người xù xì, thô ráp, đầy những vết sẹo trong suy nghĩ, về những gì tôi đã sống, về những thời điểm bạc nhược và thất bại cay đắng, cả những tranh đấu và niềm vui, niềm hy vọng trong cuộc đời, dù rằng, đôi khi tôi ước mình có thể trở thành một người mềm mại, nhẹ nhàng hơn.” -- Tác giả Nguyễn Cảnh Bình Thông tin tác giả NGUYỄN CẢNH BÌNH Sinh năm 1972 tại Hà Nội, lớn lên từ khu Đống Đa và Nam Đồng, học tiểu học và THCS Thái Thịnh, PTTH Đống Đa rồi vào Đại học Bách Khoa (1989 – 1994). Là học sinh cá biệt với nhiều suy nghĩ và hành động không theo lối mòn. Yêu thích sách vở và quen với lao động từ nhỏ. Sáng lập và Chủ tịch HĐQT của Alpha Books, Omega+ Books và các thương hiệu khác như ETS, Gamma, MedInsight, Sống và Trạm đọc. Giám đốc Trung tâm hợp tác Trí tuệ Việt Nam (VICC), Sáng lập và là Viện trưởng Viện Lãnh đạo ABG, tham gia xây dựng, phát triển nhiều chương trình đóng góp cho sự phát triển của cộng đồng như Hành Trình Tri Thức, Cùng Đọc Sách, Đại sứ Văn Hóa Đọc, và các hoạt động đào tạo lãnh đạo trẻ và truyền cảm hứng cho học sinh, sinh viên... Tác giả, dịch giả và tham gia biên soạn một số cuốn sách, gồm Hiến pháp Mỹ được làm ra như thế nào? và một số tác phẩm khác. Có nghiên cứu về các vấn đề thiết chế, hiến pháp, tổ chức, lãnh đạo và giáo dục. "
https://nhasachphuongnam.com/vi/ve-nguyen-huy-thiep.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/219/ve-nguyen-huy-thiep.jpg,Về Nguyễn Huy Thiệp,186000,Văn Học,Bìa mềm,25 x 21 cm,228,Nhiều Tác Giả,None,NXB Dân Trí,Liên Việt,893604995748,"Về Nguyễn Huy Thiệp tức là nhớ về, nghĩ về, viết về nhà văn Nguyễn Huy Thiệp. Hồi ức và kỷ niệm. Tản văn, ký, phê bình văn học và phỏng vấn. Trong rất nhiều bài về nhà văn Nguyễn Huy Thiệp cũng như tác phẩm của ông, chúng tôi chọn khoảng ba mươi bài. Sách không cứ là một tập hợp cho dù là vài trăm bài theo kiểu một dấu cộng. Đấy là cách chúng tôi nghĩ khi bắt đầu làm cuốn sách này. Trước tiên nó phải là một cuốn sách, sau mới đến ý nghĩa tưởng nhớ nhà văn Nguyễn HuyThiệp. Cho nên bài đầu tiên là bài ai ai cũng biết Tôi không chúc bạn thuận buồm xuôi gió của nhà phê bình Hoàng Ngọc Hiến. Bài này là bài đầu tiên viết về văn chương của Nguyễn Huy Thiệp và in như lời giới thiệu trong tập truyện ngắnTướng về hưu, cũng là cuốn sách đầu tiên của nhà văn Nguyễn Huy Thiệp (Nhà xuất bản Trẻ và Tuần báo Văn nghệ/ Hội Nhà văn Việt Nam, 1987). Bài cuối cùng củacuốn sách này là bàNói chuyện một mình. Đây là bài viết cuối cùng của Nguyễn Huy Thiệp, ông viết vào dịp trước Tết âm lịch 2020. Phần 2 của sách là ảnh tư liệu chụp nhà văn, một số tác phẩm gốm của ông và đặc biệt những bức tranh đề thơ của nhà văn khi ông đã nằm trên giường bệnh. Thứ tự sau trước của các bài, bố cục các phần sẽ tạo ra không gian của cuốn sách. Sự khác biệt chính là ở đó. Ấy là chưa kể còn phần thiết kế đồ hoạ cho bìa, ruột, kích thước, chất liệu giấy và kỹ thuật in, gia công sau Hy vọng ở một nơi nào đó, Nhà văn Nguyễn Huy Thiệp sẽ hài lòng. "
https://nhasachphuongnam.com/vi/hua-voi-con-ba-nhe.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/218/hua-voi-con-ba-nhe.jpg,"Hứa Với Con, Ba Nhé",179000,Văn Học,Bìa mềm,14.5 x 20.5 cm,348,Joe Biden,Nguyễn Xuân Hồng,NXB Dân Trí,Tân Việt,combo-893521027914,"Hứa Với Con, Ba Nhé là một cuốn hồi kí cảm động sâu sắc về một năm làm thay đổi cả một gia đình và một đất nước mãi mãi. Tháng 11 năm 2014, 13 thành viên của gia đình ông Biden lại tập trung ở Nantucket nhân dịp lễ Tạ ơn, một truyền thống của gia đình họ trong 40 năm qua, một điều không bao giờ thay đổi dù cuộc sống này có bận rộn thế nào đi chăng nữa. Dịp lễ Tạ ơn là khoảng thời gian cần thiết để nghỉ ngơi, để kết nối, để suy ngẫm về một năm đã qua và về những gì có thể chờ đợi trong tương lai. Nhưng dịp nghỉ lễ năm này đã khác với mọi năm trước. Beau, con trai lớn của ông bà Joe và Jill Biden, đã được chẩn đoán có một khối u não ác tính 15 tháng trước, và họ không chắc chắn về cơ hội qua khỏi. “Hứa với con, Ba nhé!” là lời Beau đã nói với cha mình. “Hãy hứa với con rằng bất kể chuyện gì xảy ra, ba cũng sẽ ổn.” Và Joe Biden đã giữ lời. Bằng giọng văn sâu sắc và trực tiếp, Joe Biden khiến người đọc cảm nhận được sự cấp bách của mỗi một thời khắc, trải nghiệm được những ngày tháng ông cảm thấy không thể tiếp tục tiến bước hay những lúc ông không thể ngừng lại. Cuốn sách không chỉ được Joe Biden viết với tư cách là một phó tổng thống, mà còn ở vị thế của một người cha, người ông, người bạn, và người chồng. Hứa Với Con, Ba Nhé là câu chuyện về cách gia đình và bạn bè nâng đỡ chúng ta, và cách niềm hi vọng, mục đích và hành động có thể dẫn lối chúng ta vượt qua đau thương, mất mát cá nhân để tiến tới ánh sáng của một tương lai mới. "
https://nhasachphuongnam.com/vi/su-that-ta-nam-giu-mot-hanh-trinh-xuyen-nuoc-my.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/218/su-that-ta-nam-giu.jpg,Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ,195000,Văn Học,Bìa mềm,15 x 23 cm,368,Kamala Harris,Khánh Vân,NXB Dân Trí,Tân Việt,combo-893521027913,"Trong một kỉ nguyên mà nhiều cuốn hồi kí chính trị hồi tưởng lại những năm tháng Tổng thống Obama còn tại vị hoặc là cố gắng phơi bày thực trạng bất ổn của chính phủ Mỹ hiện tại, thật tuyệt vời khi cuốn hồi kí Sự Thật Ta Nắm Giữ của Phó Tổng thống Mỹ Kamala Harris mang tới cho độc giả cái nhìn sâu sắc về những tác động của cuộc đời bà tới xã hội Mỹ. Đây là một câu chuyện chân thực và có sức truyền cảm hứng mạnh mẽ, chắc chắn sẽ làm mê đắm rất nhiều độc giả!  Được viết bởi một nhà lãnh đạo chính trị quyền lực bậc nhất Hoa Kỳ, nhưng cuốn sách không hề khiến độc giả ngợp trong những vấn đề chính trị khô khan. Như tác giả cũng khẳng định, đây không phải cương lĩnh chính trị, càng không phải một danh sách những điều phải làm, mà là một tập hợp các ý tưởng, quan điểm và câu chuyện từ cuộc sống của chính giả và từ cuộc sống của nhiều người mà bà đã gặp. Cuốn sách mang đậm tính cá nhân của bà Kamala, một phụ nữ da màu đáng kính và quyền lực, con gái của những người dân nhập cư kể lại câu chuyện của chính mình và mang tới hi vọng cho tương lai của nước Mỹ. Nó giúp mở mang tầm mắt cho bất cứ ai đang cố gắng hình dung về Phó Tổng thống Harris, một người phụ nữ thông minh, một công tố viên cứng rắn có tầm nhìn xa để luôn chủ động trong công việc, một người quan tâm sâu sắc đến công bằng xã hội, đam mê công lý và nhanh chóng khẳng định mình là một trong những tác nhân thay đổi mới mẻ nhất cơ quan thực thi pháp luật Mỹ. Bà cũng đã áp dụng cách tiếp cận thực tế dựa trên dữ liệu và đương đầu với một loạt các vấn đề hóc búa, từ vấn đề chăm sóc sức khỏe đến vấn đề nhập cư, an ninh quốc gia, cuộc khủng hoảng thuốc giảm đau opioid và tình trạng bất bình đẳng gia tăng.  Đây là câu chuyện vô cùng thú vị về gia đình, tuổi thơ của bà Kamala, và cũng là câu chuyện về cuộc đời mà bà đã gây dựng từ khi còn bé cho đến nay. Thật bất ngờ, những chi tiết đáng nhớ nhất trong cuốn sách lại chính là hồi ức của tác giả về gia đình, tình bạn và trên hết là về người mẹ của bà. Ở đây, tác giả cũng phơi bày thực trạng bất ổn của chính phủ Mỹ, những thách thức lớn mà người dân Mỹ phải đối mặt. Qua ngòi bút sắc sảo của bà Kamala Harris, cuốn sách sẽ giúp bạn có kiến thức thiết thực về cách giải quyết vấn đề, xử lý khủng hoảng, và vai trò người lãnh đạo trong những thời điểm đầy thách thức. Cuốn sách cũng gửi gắm một thông điệp rất lớn của tác giả: Nền dân chủ, sự tự do và công lý không thể bén rễ, phát triển và nở rộ giữa lòng căm thù, cơn thịnh nộ. Chúng ta phải phản đối sự thờ ơ, sợ hãi, căm ghét và ngờ vực. Cuốn sách ra đời cũng là lời kêu gọi hành động, “chúng ta phải bắt đầu và kết thúc bằng việc nói ra sự thật”.  Có thể khẳng định, cuốn sách có giá trị tuyệt vời trong việc truyền cảm hứng tích cực tới người đọc, giúp chúng ta có tầm nhìn về tương lai, nỗ lực hành động vì mục đích và giá trị chung để vươn tới một cuộc sống tốt đẹp hơn! Thông tin tác giả Kamala Harris (sinh ngày 20 tháng 10 năm 1964) là một chính trị gia và luật sư người Mỹ, phó Tổng thống thứ 49 của Hoa Kỳ. Bà là nữ phó tổng thống đầu tiên và là nữ quan chức cấp cao nhất trong lịch sử Hoa Kỳ, đồng thời là người Mỹ gốc Phi đầu tiên và Phó Tổng thống người Mỹ gốc Á đầu tiên. Phó Tổng thống Hoa Kỳ Kamala Harris bắt đầu sự nghiệp tại Văn phòng Uỷ viên công tố hạt Alameda, sau đó được bầu làm uỷ viên công tố quận San Francisco. Với tư cách là công tố viên liên bang tại California, bà Harris đã truy tố nhiều băng đảng xuyên quốc gia, các ngân hàng lớn, nhóm 5 công ty dầu khí lớn nhất thế giới và nhiều trường đại học vì lợi nhuận, đồng thời đấu tranh chống các cuộc công kích vào Đạo luật Chăm sóc sức khỏe hợp túi tiền. Bà còn đấu tranh để giảm tình trạng trốn học ở trường tiểu học, đi tiên phong trong việc phơi bày nạn phân biệt chủng tộc trong hệ thống tư pháp hình sự của quốc gia và triển khai các khoá đào tạo về thành kiến ngầm cho các sĩ quan cảnh sát. Là người phụ nữ da màu thứ hai được bầu vào Thượng viện Hoa Kỳ, bà Harris luôn nỗ lực cải cách hệ thống tư pháp hình sự, tăng mức lương tối thiểu, miễn học phí bậc đại học cho đa số người Mỹ và bảo vệ quyền lợi hợp pháp của người tị nạn và người nhập cư. "
https://nhasachphuongnam.com/vi/noi-anh-sang-chieu-soi-hanh-trinh-xay-dung-gia-dinh-kham-pha-chinh-minh.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/218/noi-anh-sang-chieu-soi_8ryg-z8.jpg,"Nơi Ánh Sáng Chiếu Soi - Hành Trình Xây Dựng Gia Đình, Khám Phá Chính Mình",135000,Văn Học,Bìa mềm,15 x 23 cm,276,Jill Biden,Khánh Vân,NXB Dân Trí,Tân Việt,combo-893521028912,"Nơi Ánh Sáng Chiếu Soi là một cuốn sách đẹp được kể bởi một tâm hồn đẹp, là một cái nhìn chân thực, ấm áp về một gia đình đầy tình thân của Tổng thống Mỹ Joe Biden, và về cuộc sống của Jill - người phụ nữ là trung tâm của tổ ấm này. Khi lớn lên, bà Jill Biden muốn có hai thứ: một là cuộc hôn nhân bền chặt, đầy tình yêu và tràn ngập tiếng cười giống như cha mẹ bà; hai là sự nghiệp vững vàng. Vì cuộc hôn nhân đầu tiên sớm tan vỡ nên bà không còn tin vào tình yêu, cho đến khi bà gặp Joe. Nhưng khi họ dần thân thiết hơn, Jill phải đối mặt với những câu hỏi khó khăn: Chính trị sẽ định hình gia đình và sự nghiệp của bà như thế nào? Và liệu bà đã sẵn sàng trở thành mẹ của hai cậu con trai nhỏ của Joe chưa? Chính tình yêu chân thành đã giúp bà học cách cân bằng cuộc sống với tư cách là một người mẹ, một giảng viên và một người vợ của chính trị gia. Trải qua những thách thức khi phải đối mặt với sự soi xét của công chúng, những biến động trong gia đình và những mất mát cá nhân, bà đã trưởng thành bên cạnh gia đình mình. Với ngòi bút chân thành và sâu sắc, bà Jill Biden đã kể câu chuyện thực tế về gia đình mình, về các mối quan hệ trong gia đình và sự mất mát từ góc nhìn của một người mẹ. Qua đó chúng ta hiểu được rằng, con người sẽ dễ dàng vượt qua khó khăn hơn nếu họ không đơn độc, và dù thế nào thì cuộc sống vẫn phải tiếp diễn. Tác giả đã rất trung thực khi đưa ra cái nhìn sâu sắc về con người của mình. Bà ấy thực sự là một người phụ nữ tuyệt vời. Những niềm vui, nỗi buồn, thử thách và thành công của bà đều được giải thích một cách kín kẽ. Cuốn sách thú vị đến từng giây phút. Người đọc không khỏi thích thú khi tìm hiểu thêm về cuộc đời của Jill Biden và cách bà quen biết chồng mình, Tổng thống Mỹ Joe Biden. Khả năng thích nghi với việc làm mẹ bất chấp hoàn cảnh của bà là một câu chuyện cảm hứng với rất nhiều người, đặc biệt là phụ nữ. Bạn đọc chắc chắn sẽ thấy yêu thích cách gia đình họ hỗ trợ nhau hơn tất cả, và cách bà Jill luôn tập trung vào việc giữ cho gia đình họ vững mạnh. Đây là một phụ nữ có cá tính, đẳng cấp, có sự nghiệp và coi trọng giá trị gia đình. Một số chi tiết làm tăng sức lôi cuốn của cuốn sách: lý do tại sao bà lại quyết tâm cân bằng sự nghiệp là tiến sĩ toàn thời gian của mình với vai trò Đệ nhị phu nhân trong Nhà Trắng, một số hoàn cảnh xung quanh trước và sau khi Jill Biden và Joe Biden gặp nhau lần đầu, lần đầu tiên Jill Biden gặp Michelle Obama… Người đọc sẽ yêu thích cuốn sách này vì bà Jill đã trải lòng một cách chân thành khi viết về  những bi kịch mà chồng bà đã phải chịu đựng trước khi gặp bà. Bạn sẽ không thể tưởng tượng được cảm giác khó khăn như thế nào khi bước vào vị trí của người vợ xinh đẹp, yêu dấu mà Joe đã mất đột ngột và trở thành người bạn đồng hành, người bạn tâm giao, người vợ và người mẹ mà Joe Biden và các cậu con trai của ông đều yêu quý. Bạn sẽ yêu thích cách bà vẫn giữ vị trí của Neilia trong gia đình với sự tôn trọng và lòng trắc ẩn sâu sắc, một điều mà chắc hẳn ít người phụ nữ trong cùng hoàn cảnh làm được. Đúng vậy, cô ấy đã trở thành Mẹ của Beau và Hunter, nhưng họ vẫn có một người ""Mẹ"" trong tim. Tin chắc khi đọc cuốn sách, nhiều người sẽ tự hỏi, hai cậu con trai có thể nhớ lại được bao nhiêu về Neilia sau khi họ mất mẹ ở độ tuổi còn non nớt như vậy, nhưng rõ ràng điều quan trọng đối với cả Joe và Jill là phải giữ gìn trí nhớ của họ về mẹ nhiều nhất có thể. Người đọc cũng sẽ không khỏi thích thú với những quan điểm trong tình yêu, mối quan hệ vợ chồng, cách nuôi dạy con cái, cách gắn kết gia đình, mối quan hệ với gia đình nhà chồng… của bà Jill Biden. Bà thể hiện các quan điểm ấy một cách chân thành qua các câu chuyện trong cuộc sống, chứ không phải là lí thuyết khô khan của một nhà giáo dục. Và quan điểm đặc biệt là phụ nữ phải có sự nghiệp riêng dù trong hoàn cảnh nào đi nữa, và bản thân bà thực sự đã truyền được cảm hứng khi bà là một Đệ nhất phu nhân Mỹ có học vị cao và vẫn tiếp tục sự nghiệp của riêng mình. Cuốn sách để lại ấn tượng sâu sắc đối với bạn đọc về sự kiên cường, sự thủy chung, niềm tin và hi vọng trong cuộc sống sẽ chiến thắng tất cả. Có trở ngại nào không thể vượt qua khi có gia đình ở bên. Sau tất cả những đau thương và mất mát, niềm vui và thắng lợi, bạn có thể nhận ra rằng, gia đình là nơi được gắn kết bởi dòng máu và sự lựa chọn, qua tình yêu và tình bạn, qua bao gian khổ và niềm vui. Hạnh phúc là khi ta cân bằng những vai trò khác nhau trong cuộc sống. Bà Jill Biden thực sự là biểu tượng truyền cảm hứng cho chúng ta về những giá trị ấy. "
https://nhasachphuongnam.com/vi/tuoi-tre-ma-toi-da-song.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/215/tuoi-tre-ma-toi-da-song.jpg,Tuổi Trẻ Mà Tôi Đã Sống,99000,Văn Học,Bìa mềm,13 x 20.5 cm,232,Nguyễn Ngọc Sơn,None,NXB Văn Học,Người Trẻ Việt,978604323379,"Chúng ta gặp bế tắc ở tuổi trưởng thành? Chúng ta bị người khác vượt qua và cảm thấy hoài nghi về bản thân và xã hội Chúng ta ra trường với những lời hứa hẹn với bản thân, nhưng khi đối diện với thực tại, chúng ta lại mông lung và hoang mang về con đường mà mình phải đi sắp tới Đôi lúc chúng ta cần một người nâng đỡ chúng ta về mặt tinh thần, có một người dìu dắt chúng ta về mặt cảm xúc, và cách hay nhất là cùng đọc sách, cùng chiêm nghiệm để lĩnh hội những bài học đắt giá cho chính mình Tuổi trẻ mà tôi đã sống – cuốn sách tản văn kỹ năng sẽ mang đến cho độc giả những cung bậc cảm xúc chân thật nhất, vượt qua những nghĩ ngợi, những ưu tư để trở nên trưởng thành và khôn ngoan hơn. Cuốn sách cũng là những trải nghiệm rất thật của tác giả, một người trưởng thành đã đi qua những năm tháng tuổi trẻ dài và rộng. Với những lời tâm sự bình dị và gần gũi, cuốn sách TUỔI TRẺ MÀ TÔI ĐÃ SỐNG  của tác giả Nguyễn Ngọc Sơn sẽ giúp người đọc cảm nhận rõ nét nhất về tâm lý của những người trẻ trong xã hội ngày nay. Thay vì phải tránh né và sợ hãi, tác giả đã truyền thêm một sức mạnh cho người trẻ, hãy dám nghĩ dám làm và đương đầu với mọi khó khăn, đơn giản vì đó là tuổi trẻ và đừng lãng phí nó, để rồi sau này phải hối tiếc trong muộn màng. "
https://nhasachphuongnam.com/vi/pham-duy-va-loi-ca-lang-dong.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/215/pham-duy-va-loi-ca-lang-dong.jpg,Phạm Duy Và Lời Ca Lắng Đọng,120000,Văn Học,Bìa mềm,13.5 x 20.5 cm,289,Phan Trang Hy,None,NXB Hội Nhà Văn,None,978604319673,"Những bài viết trong tác phẩm này, hầu hết được đăng trong các tạp chí văn học, nghệ thuật trong nước và ngoài nước, không chỉ biên khảo, giới thiệu, phê bình, mà còn chia sẻ kỷ niệm, cảm xúc của tôi về ca từ trong nhạc Phạm Duy. Phạm Duy từng viết: ""...làm sao cho lời ca của mình có thể được cho vào văn học sử"" (Một Đời Nhìn Lại - Ngàn Lời Ca). Điều đó, chứng tỏ ông rất coi trọng lời ca. Từ những ca khúc ông tự viết lời đến những thơ được ông phổ nhạc đều làm cho tiếng Việt thăng hoa. Lời ca trong nhạc Phạm Duy mãi còn theo tháng năm trong lòng người yêu nhạc. Với người đời, Phạm Duy được xưng tụng là ""phù thủy âm nhạc"". Riêng tôi, qua những lời ca, Phạm Duy là người yêu tiếng Việt khôn cùng! Xin giới thiệu các bạn PHẠM DUY VÀ LỜI CA LẮNG ĐỌNG! "
https://nhasachphuongnam.com/vi/yen-lam.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/215/yen-lam.jpg,Yên Lam,97000,Văn Học,Bìa mềm,12.7 x 18.8 cm,254,Thư Hoài,None,NXB Hội Nhà Văn,None,978604319796,"“Khắc ngồi rất lâu như thế, bất động. Chợt con mèo Jin từ đâu nhảy vào lòng anh làm anh giật nảy người. Màn hình đã tự động khóa từ lúc nào. Tay run run, anh mở lại chiếc điện thoại, gương mặt Lam hiện ra ở góc trên trái màn hình, nhìn vào anh như muốn nói “Xin chào!”... Chào em! Anh thốt lên trong vô thức, chợt nghe tim mình nhói đau. Đã bao lâu rồi anh không nhìn thấy cô? Đã bao lâu rồi anh như đã quên mất giọng nói của cô? Hai mươi năm là một khoảng thời gian dài, rất dài, có thể khiến con người ta quên đi mình là ai, mình đã từng như thế nào...”. "
https://nhasachphuongnam.com/vi/vuon-hoa-mat-duoc-ky-su-nhung-ky-an-noi-tieng-chua-co-loi-giai.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/214/vuon-hoa-mat-duoc-ky-su.jpg,Vườn Hoa Mạt Dược Ký Sự - Những Kỳ Án Nổi Tiếng Chưa Có Lời Giải,139000,Văn Học,Bìa mềm,14.5 x 20.5 cm,400,Hà Mạt Bì,LOSEDOW,NXB Thế Giới,Tsuki Trinh Thám,978604779735,"Từ những thước phim tài liệu của Netflix, cho tới những tài liệu mật chỉ được thẩm tra nhằm phục vụ cho quá trình phá án, Vườn Hoa Mạt Dược Ký Sự đã lần lượt thu thập và đăng tải hồ sơ về mười lăm kỳ án trên thế giới. Phần lớn trong số đó là các vụ án chưa tìm được lời giải sau nhiều năm điều tra. Mười lăm vụ án được phân tích trong bộ hồ sơ trinh thám này là mười lăm kỳ án mà thế giới không bao giờ quên. Ai đã làm điều đó? Họ đã làm điều đó như thế nào? “Tôi mong ý nghĩa tồn tại của Vườn Hoa Mạt Dược không hạn chế trong việc tìm ra đáp án cho các vụ án chưa có lời giải và những sự kiện thần bí. Tôi hy vọng mình có thể cung cấp một bản mẫu phân tích logic ở góc độ và phương diện lý trí để độc giả nhìn nhận các sự kiện xã hội. Còn đáp án cụ thể, thực ra mỗi người chúng ta đều có thể có những suy luận của riêng mình nên chỉ cần hợp logic là được.” – Trích lời tác giả. "
https://nhasachphuongnam.com/vi/thien-hon.html,https://nhasachphuongnam.com/images/thumbnails/213/213/detailed/214/thien-hon.jpg,Thiên Hồn,199000,Văn Học,Bìa mềm,16 x 24 cm,368,Cao Minh,Phương Linh,NXB Thế Giới,Vitalis,978604779685,"MỆNH DO TRỜI ĐỊNH, VẬN DO TA SINH Mười con người xa lạ… … chạy đua với thời gian … chạy đua với sinh mệnh … chạy đua bằng ham muốn sống … chạy đua bằng bản năng sinh tồn. Tất cả cũng chỉ vì bốn chữ: nắm giữ vận mệnh Mệnh do trời định, vận do ta sinh. Nếu có thể làm chủ vận mệnh của mình, bạn sẵn sàng trả giá chứ? Suốt bảy năm trời, một nghìn vong hồn Đêm thần lựa chọn, sót lại một người Hiện tại, đã là năm thứ bảy Còn tôi, vong hồn thứ một nghìn. Tại rừng hoang đảo xa cách biệt với thế giới bên ngoài này Nhân tính phức tạp chồng chất lên đống xương cốt bị vận mệnh nghiền nát. Tôi, cô ấy và họ dung nhập vào nhau giữa những thối nát. ...... Thiên hồn – cuốn sách dành cho những con người yếu ớt, luôn cảm thấy mình chỉ là một nét mờ nhạt ảm đạm trong cuộc sống rực rỡ của muôn người. Thiên hồn – cuốn sách sẽ đánh thức “dã tâm” trong bạn. Thiên hồn – cuốn tiểu thuyết đáng mong chờ nhất của tác giả Cao Minh trong mùa hè năm nay! "
